block idx,date start,challenge item name,lexical item name,frequency,concreteness,linguistic category,lexical class,E/M/H,noise,un/trained,difficulty rating,distractor num,foil 1,foil 2,foil 3,foil 4,foil 5,accuracy,rt (sec),incorrect-foil name,incorrect-foil type,incorrect-foil p-type,replay counter,
3,2017-01-23 22:00:10,honey,honey,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,3.2552,,,,0,
3,2017-01-23 22:00:10,the hotel,hotel,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,4.3193,,,,0,
3,2017-01-23 22:00:10,foot,foot,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,0,11.167,soot,p1,mp,0,
3,2017-01-23 22:00:10,shower,shower,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,p2,s2,,,,1,4.4365,,,,0,
3,2017-01-23 22:00:10,smoke,smoke,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p3,,,,1,5.354,,,,0,
3,2017-01-23 22:00:10,teacher,teacher,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,p2,s1,,,,1,6.064,,,,0,
3,2017-01-23 22:00:10,pound,pound,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s2,,,,1,10.6497,,,,1,
3,2017-01-23 22:00:10,match,match,8,6,noun_1syll_word,noun,Word,NoNoise,0,0.1375,2,s2,p3,,,,1,4.2502,,,,0,
3,2017-01-23 22:00:10,The dad,dad,8,6,noun_1syll_phrase,noun,Word,NoNoise,0,0.1375,2,s1,p3,,,,1,5.2088,,,,0,
3,2017-01-23 22:00:10,lift,lift,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,3.2811,,,,0,
3,2017-01-23 22:00:10,railway,railway,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p1,,,,1,5.3209,,,,0,
3,2017-01-23 22:00:10,The note,note,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p3,s2,,,,1,6.1228,,,,0,
3,2017-01-23 22:00:10,glass,glass,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,5.0019,,,,0,
3,2017-01-23 22:00:10,corner,corner,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,p2,s1,,,,1,10.1489,,,,0,
4,2017-01-23 22:05:25,clove,clove,4,6,noun_1syll_word,noun,Word,NoNoise,1,0.2661,2,s2,p2,,,,1,5.4016,,,,0,
4,2017-01-23 22:05:25,grin,grin,5,6,noun_1syll_word,noun,Word,NoNoise,1,0.2339,2,s1,p1,,,,0,11.055,frown,s1,coord,0,
4,2017-01-23 22:05:25,box,box,8,7,noun_1syll_word,noun,Word,NoNoise,1,0.1,2,p2,s1,,,,1,6.3812,,,,0,
4,2017-01-23 22:05:25,phone,phone,8,7,noun_1syll_word,noun,Word,NoNoise,1,0.1,2,p1,s1,,,,1,6.28,,,,0,
4,2017-01-23 22:05:25,stairs,stairs,6,7,noun_1syll_word,noun,Word,NoNoise,1,0.1643,2,s1,p1,,,,1,4.1511,,,,0,
4,2017-01-23 22:05:25,land,land,8,7,noun_1syll_word,noun,Word,NoNoise,1,0.1,2,s1,p1,,,,1,7.6022,,,,0,
4,2017-01-23 22:05:25,fire,fire,8,7,noun_1syll_word,noun,Word,NoNoise,1,0.1,2,p2,s1,,,,1,3.7192,,,,0,
4,2017-01-23 22:05:25,fort,fort,5,7,noun_1syll_word,noun,Word,NoNoise,1,0.1964,2,s2,p1,,,,1,4.9399,,,,0,
4,2017-01-23 22:05:25,cuff,cuff,4,7,noun_1syll_word,noun,Word,NoNoise,1,0.2286,2,s2,p1,,,,1,3.7121,,,,0,
4,2017-01-23 22:05:25,gnome,gnome,4,7,noun_1syll_word,noun,Word,NoNoise,1,0.2286,2,p1,s2,,,,1,5.3464,,,,0,
4,2017-01-23 22:05:25,sack,sack,6,7,noun_1syll_word,noun,Word,NoNoise,1,0.1643,2,s2,p2,,,,0,20.4177,crack,p2,mp,1,
4,2017-01-23 22:05:25,point,point,8,4,noun_1syll_word,noun,Word,NoNoise,1,0.2125,2,s2,p2,,,,1,4.6204,,,,0,
4,2017-01-23 22:05:25,a curve,curve,5,6,noun_1syll_phrase,noun,Word,NoNoise,1,0.2339,2,p1,s2,,,,1,8.8571,,,,0,
4,2017-01-23 22:05:25,the hoe,hoe,3,7,noun_1syll_phrase,noun,Word,NoNoise,1,0.2607,2,s1,p2,,,,1,5.4506,,,,0,
4,2017-01-23 22:05:25,The tree,tree,7,7,noun_1syll_phrase,noun,Word,NoNoise,1,0.1322,2,p2,s2,,,,1,5.3311,,,,1,
5,2017-01-24 09:37:10,The painting,painting,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,p2,s1,,,,1,18.592,,,,1,
5,2017-01-24 09:37:10,The movie,movie,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,7.145,,,,0,
5,2017-01-24 09:37:10,the milk,milk,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p3,,,,1,5.5959,,,,0,
5,2017-01-24 09:37:10,dress,dress,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p1,,,,1,4.1993,,,,0,
5,2017-01-24 09:37:10,cream,cream,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p2,,,,1,3.0648,,,,0,
5,2017-01-24 09:37:10,dish,dish,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p3,,,,1,8.2419,,,,0,
5,2017-01-24 09:37:10,the shower,shower,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,3.6482,,,,0,
5,2017-01-24 09:37:10,The golf,golf,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,7.0307,,,,1,
5,2017-01-24 09:37:10,skin,skin,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p3,,,,0,16.9962,muscles,s2,assoc,1,
5,2017-01-24 09:37:10,the brain,brain,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p2,s1,,,,1,3.6693,,,,0,
5,2017-01-24 09:37:10,the sauce,sauce,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,3.9504,,,,0,
5,2017-01-24 09:37:10,spot,spot,8,6,noun_2syll_word,noun,Word,NoNoise,0,0.1375,2,s1,p2,,,,1,4.2361,,,,0,
5,2017-01-24 09:37:10,wardrobe,wardrobe,6,7,noun_2syll_word,noun,Word,NoNoise,0,0.1643,2,p1,s1,,,,1,4.883,,,,0,
5,2017-01-24 09:37:10,painting,painting,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,6.5365,artist,s1,assoc,0,
5,2017-01-24 09:37:10,The pool,pool,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p3,,,,1,3.5602,,,,0,
6,2017-01-24 09:43:16,The note,note,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s2,,,,1,7.6163,,,,0,
6,2017-01-24 09:43:16,furniture,furniture,7,7,noun_3syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,4.5585,,,,0,
6,2017-01-24 09:43:16,The cap,cap,6,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1643,2,p2,s1,,,,1,8.7111,,,,0,
6,2017-01-24 09:43:16,The wave,wave,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,3.563,,,,0,
6,2017-01-24 09:43:16,honey,honey,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,3.3876,,,,0,
6,2017-01-24 09:43:16,pound,pound,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,p2,s1,,,,0,11.8431,hound,p2,mp,1,
6,2017-01-24 09:43:16,The email,email,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,p3,s2,,,,0,15.0131,The mail,p3,mp,1,
6,2017-01-24 09:43:16,The toilet,toilet,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s2,,,,1,4.2723,,,,0,
6,2017-01-24 09:43:16,oven,oven,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,3.5794,,,,0,
6,2017-01-24 09:43:16,railway,railway,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p2,,,,1,3.3533,,,,0,
6,2017-01-24 09:43:16,The traffic,traffic,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,s2,p3,,,,0,7.4597,The crowd,s2,assoc,0,
6,2017-01-24 09:43:16,television,television,7,7,noun_3syll_word,noun,Word,NoNoise,0,0.1322,2,p2,s1,,,,1,6.8266,,,,0,
6,2017-01-24 09:43:16,mouth,mouth,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p3,,,,1,4.0415,,,,0,
6,2017-01-24 09:43:16,The cave,cave,6,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1643,2,s1,p2,,,,1,4.0602,,,,0,
6,2017-01-24 09:43:16,corner,corner,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,4.0358,,,,0,
7,2017-01-24 09:47:56,The tree,tree,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s2,p1,,,,1,5.3574,,,,0,
7,2017-01-24 09:47:56,The golf,golf,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,3.2096,,,,0,
7,2017-01-24 09:47:56,dress,dress,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s2,,,,1,4.4252,,,,0,
7,2017-01-24 09:47:56,driver,driver,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,7.665,,,,0,
7,2017-01-24 09:47:56,the hotel,hotel,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,11.0132,,,,1,
7,2017-01-24 09:47:56,skin,skin,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,p3,s2,,,,1,4.4507,,,,0,
7,2017-01-24 09:47:56,wine,wine,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s2,,,,1,4.5182,,,,0,
7,2017-01-24 09:47:56,The tower,tower,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,0,20.1839,The house,s1,coord,1,
7,2017-01-24 09:47:56,The movie,movie,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,s2,p2,,,,1,6.6788,,,,0,
7,2017-01-24 09:47:56,furniture,furniture,7,7,noun_3syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p2,,,,1,5.5636,,,,0,
7,2017-01-24 09:47:56,claw,claw,6,7,noun_2syll_word,noun,Word,NoNoise,0,0.1643,2,p1,s1,,,,0,10.1392,paw,p1,mp/coord,0,
7,2017-01-24 09:47:56,carpet,carpet,6,7,noun_2syll_word,noun,Word,NoNoise,0,0.1643,2,s2,p3,,,,1,3.5928,,,,0,
7,2017-01-24 09:47:56,the shower,shower,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,p3,s1,,,,1,3.3013,,,,0,
7,2017-01-24 09:47:56,cream,cream,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p2,,,,1,3.0451,,,,0,
7,2017-01-24 09:47:56,The army,army,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,4.9176,,,,0,
8,2017-01-24 09:53:36,The head,head,8,7,noun_1syll_phrase,noun,Word,NoNoise,1,0.1,2,s1,p2,,,,0,9.641,The arm,s1,assoc,0,
8,2017-01-24 09:53:36,The game,game,8,7,noun_1syll_phrase,noun,Word,NoNoise,1,0.1,2,p2,s1,,,,0,15.1875,The gate,p2,mp,1,
8,2017-01-24 09:53:36,The bank,bank,8,7,noun_1syll_phrase,noun,Word,NoNoise,1,0.1,2,p2,s2,,,,1,7.5171,,,,0,
8,2017-01-24 09:53:36,The group,group,8,6,noun_1syll_phrase,noun,Word,NoNoise,1,0.1375,2,s1,p2,,,,1,4.6914,,,,0,
8,2017-01-24 09:53:36,The news,news,8,4,noun_1syll_phrase,noun,Word,NoNoise,1,0.2125,2,s1,p2,,,,0,7.2539,the weather,s1,coord,0,
8,2017-01-24 09:53:36,The dirt,dirt,6,7,noun_1syll_phrase,noun,Word,NoNoise,1,0.1643,2,s2,p1,,,,0,9.3796,the seedling,s2,assoc,0,
8,2017-01-24 09:53:36,The crown,crown,7,7,noun_1syll_phrase,noun,Word,NoNoise,1,0.1322,2,s1,p2,,,,1,3.8613,,,,0,
8,2017-01-24 09:53:36,bottle,bottle,7,7,noun_2syll_word,noun,Word,NoNoise,1,0.1322,2,p1,s1,,,,1,3.8801,,,,0,
8,2017-01-24 09:53:36,kitchen,kitchen,8,7,noun_2syll_word,noun,Word,NoNoise,1,0.1,2,p1,s1,,,,1,4.3509,,,,0,
8,2017-01-24 09:53:36,flares,flares,4,7,noun_2syll_word,noun,Word,NoNoise,1,0.2286,2,s1,p1,,,,1,7.4061,,,,0,
8,2017-01-24 09:53:36,hour,hour,8,4,noun_2syll_word,noun,Word,NoNoise,1,0.2125,2,s1,p2,,,,0,10.1248,calendar,s1,assoc,0,
8,2017-01-24 09:53:36,the socket,socket,4,6,noun_2syll_phrase,noun,Word,NoNoise,1,0.2661,2,p1,s2,,,,0,6.6154,the light switch,s2,coord,0,
8,2017-01-24 09:53:36,The father,father,8,7,noun_2syll_phrase,noun,Word,NoNoise,1,0.1,2,s2,p1,,,,1,7.9091,,,,0,
8,2017-01-24 09:53:36,The castle,castle,7,7,noun_2syll_phrase,noun,Word,NoNoise,1,0.1322,2,s2,p1,,,,1,4.4833,,,,0,
8,2017-01-24 09:53:36,a carrot,carrot,6,7,noun_2syll_phrase,noun,Word,NoNoise,1,0.1643,2,s2,p2,,,,1,4.5884,,,,0,
9,2017-01-24 09:57:58,station,station,7,6,noun_2syll_word,noun,Word,NoNoise,0,0.1697,2,s1,p1,,,,1,3.5375,,,,0,
9,2017-01-24 09:57:58,The mouth,mouth,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p3,s1,,,,1,4.3419,,,,0,
9,2017-01-24 09:57:58,pop,pop,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p1,,,,1,3.5589,,,,0,
9,2017-01-24 09:57:58,The wave,wave,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s2,p1,,,,1,4.5411,,,,1,
9,2017-01-24 09:57:58,The traffic,traffic,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,s2,p1,,,,1,4.2735,,,,0,
9,2017-01-24 09:57:58,The pool,pool,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s2,p2,,,,1,3.3191,,,,0,
9,2017-01-24 09:57:58,corner,corner,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p1,,,,1,3.3379,,,,0,
9,2017-01-24 09:57:58,honey,honey,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p3,,,,1,3.3465,,,,0,
9,2017-01-24 09:57:58,band,band,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p1,,,,1,3.1004,,,,0,
9,2017-01-24 09:57:58,medal,medal,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,8.4311,,,,0,
9,2017-01-24 09:57:58,her vehicle,vehicle,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,s2,p1,,,,1,7.5761,,,,1,
9,2017-01-24 09:57:58,the branch,branch,6,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1643,2,s2,p3,,,,0,7.4141,the leaf,s2,assoc,0,
9,2017-01-24 09:57:58,television,television,7,7,noun_3syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p2,,,,0,14.4497,computer,s1,assoc,0,
9,2017-01-24 09:57:58,oven,oven,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,3.345,,,,0,
9,2017-01-24 09:57:58,mouth,mouth,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p3,,,,1,4.0711,,,,0,
10,2017-01-24 10:28:53,smoke,smoke,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p3,,,,1,3.1288,,,,0,
10,2017-01-24 10:28:53,driver,driver,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,p2,s2,,,,1,3.3253,,,,0,
10,2017-01-24 10:28:53,The card,card,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p2,s2,,,,1,3.6347,,,,0,
10,2017-01-24 10:28:53,The tower,tower,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,p2,s2,,,,1,4.5536,,,,0,
10,2017-01-24 10:28:53,The pan,pan,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,15.6742,,,,2,
10,2017-01-24 10:28:53,lift,lift,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p1,,,,1,5.6159,,,,0,
10,2017-01-24 10:28:53,The queen,queen,8,6,noun_1syll_phrase,noun,Word,NoNoise,0,0.1375,2,s2,p2,,,,0,7.1111,The crown,s2,assoc,0,
10,2017-01-24 10:28:53,The dad,dad,8,6,noun_1syll_phrase,noun,Word,NoNoise,0,0.1375,2,s2,p2,,,,1,4.847,,,,0,
10,2017-01-24 10:28:53,skin,skin,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,4.9273,,,,0,
10,2017-01-24 10:28:53,The cash,cash,7,6,noun_1syll_phrase,noun,Word,NoNoise,0,0.1697,2,s2,p1,,,,0,8.3816,The cash machine,s2,assoc,0,
10,2017-01-24 10:28:53,dress,dress,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,p3,s2,,,,1,2.9293,,,,0,
10,2017-01-24 10:28:53,bull,bull,6,7,noun_1syll_word,noun,Word,NoNoise,0,0.1643,2,s1,p3,,,,0,7.5665,cow,s1,coord,0,
10,2017-01-24 10:28:53,The river,river,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,p3,s1,,,,1,4.5268,,,,0,
10,2017-01-24 10:28:53,The bell,bell,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p2,s1,,,,1,3.0546,,,,0,
10,2017-01-24 10:28:53,furniture,furniture,7,7,noun_3syll_word,noun,Word,NoNoise,0,0.1322,2,p3,s2,,,,1,3.4329,,,,0,
11,2017-01-24 10:32:45,The traffic,traffic,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p3,,,,1,3.8049,,,,0,
11,2017-01-24 10:32:45,oven,oven,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,3.5722,,,,0,
11,2017-01-24 10:32:45,medal,medal,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p2,,,,1,6.4527,,,,0,
11,2017-01-24 10:32:45,The tree,tree,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s2,,,,1,3.8957,,,,0,
11,2017-01-24 10:32:45,pop,pop,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p3,,,,1,3.2941,,,,0,
11,2017-01-24 10:32:45,her vehicle,vehicle,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,p2,s1,,,,1,4.5164,,,,0,
11,2017-01-24 10:32:45,The army,army,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p3,,,,1,5.4382,,,,0,
