block idx,date start,challenge item name,lexical item name,frequency,concreteness,linguistic category,lexical class,E/M/H,noise,un/trained,difficulty rating,distractor num,foil 1,foil 2,foil 3,foil 4,foil 5,accuracy,rt (sec),incorrect-foil name,incorrect-foil type,incorrect-foil p-type,replay counter,
1,2016-08-04 16:30:11,her vehicle,vehicle,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,11.5966,,,,1,
1,2016-08-04 16:30:11,The plant,plant,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,9.6199,,,,1,
1,2016-08-04 16:30:11,The kid,kid,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,0,25.1215,The adult,s1,assoc,3,
1,2016-08-04 16:30:11,The sugar,sugar,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,5.7395,,,,0,
1,2016-08-04 16:30:11,The movie,movie,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,9.9866,,,,0,
1,2016-08-04 16:30:11,The dinner,dinner,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,18.546,,,,2,
1,2016-08-04 16:30:11,spot,spot,8,6,noun_2syll_word,noun,Word,NoNoise,0,0.1375,2,p1,s1,,,,1,8.4724,,,,0,
1,2016-08-04 16:30:11,The net,net,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,13.1143,The vet,p1,mp,1,
1,2016-08-04 16:30:11,clock,clock,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,22.4155,pocket watch,s1,assoc,2,
1,2016-08-04 16:30:11,art,art,8,6,noun_1syll_word,noun,Word,NoNoise,0,0.1375,2,p1,s1,,,,1,14.9431,,,,1,
1,2016-08-04 16:30:11,forest,forest,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,8.0743,,,,1,
2,2016-08-05 19:09:46,The food,food,8,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1,2,p1,s1,,,,1,28.2313,,,,0,
2,2016-08-05 19:09:46,The building,building,8,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1,2,s1,p1,,,,1,8.9495,,,,0,
2,2016-08-05 19:09:46,The clean floor,floor,8,7,noun_attributive,noun,Word,NoNoise,0,0.1,2,s1,p1,,,,1,17.2736,,,,0,
2,2016-08-05 19:09:46,woman,woman,8,6,noun_2syll_word,noun,Word,NoNoise,0,0.1375,2,s1,p1,,,,0,28.3493,wooden,p1,close,1,
2,2016-08-05 19:09:46,The page,page,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,24.9304,,,,1,
2,2016-08-05 19:09:46,teacher,teacher,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,17.8793,student,s1,coord,0,
2,2016-08-05 19:09:46,music,music,8,6,noun_2syll_word,noun,Word,NoNoise,0,0.1375,2,s1,p1,,,,0,28.4858,sick,p1,distant,1,
2,2016-08-05 19:09:46,The fish,fish,8,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1,2,p1,s1,,,,1,13.1724,,,,1,
2,2016-08-05 19:09:46,the old silver,silver,8,7,noun_attributive,noun,Word,NoNoise,0,0.1,2,p1,s1,,,,1,6.7952,,,,0,
2,2016-08-05 19:09:46,The hole (in a sock),hole,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,13.3249,,,,0,
2,2016-08-05 19:09:46,bottle,bottle,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,0,28.5215,jug,s1,coord,1,
2,2016-08-05 19:09:46,The camera,camera,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,7.8381,,,,0,
2,2016-08-05 19:09:46,people,people,8,7,noun_2syll_word,noun,Word,NoNoise,0,0.1,2,p1,s1,,,,1,8.4851,,,,0,
2,2016-08-05 19:09:46,The ring,ring,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,7.2182,,,,0,
2,2016-08-05 19:09:46,the seat,seat,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,39.923,the feet,p1,mp,0,
3,2016-08-05 19:19:01,The stone,stone,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,0,23.0498,The sand,s1,assoc,0,
3,2016-08-05 19:19:01,The dinner,dinner,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,22.1294,,,,1,
3,2016-08-05 19:19:01,The kid,kid,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,5.9814,,,,0,
3,2016-08-05 19:19:01,sheep,sheep,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,4.6801,,,,0,
3,2016-08-05 19:19:01,The bar,bar (stick),7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,6.0019,,,,0,
3,2016-08-05 19:19:01,The net,net,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,0,18.1973,The vet,p1,mp,0,
3,2016-08-05 19:19:01,The meal,meal,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,0,19.5678,The steel,p1,mp,0,
3,2016-08-05 19:19:01,the brother,brother,8,6,noun_2syll_phrase,noun,Word,NoNoise,0,0.1375,2,p1,s1,,,,1,11.8402,,,,0,
3,2016-08-05 19:19:01,the hat,hat,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,8.2758,,,,0,
3,2016-08-05 19:19:01,The village,village,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,8.8591,,,,0,
3,2016-08-05 19:19:01,The cloud,cloud,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,4.4274,,,,0,
3,2016-08-05 19:19:01,her vehicle,vehicle,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,4.4648,,,,0,
3,2016-08-05 19:19:01,The suit,suit,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,4.7838,,,,0,
3,2016-08-05 19:19:01,The plant,plant,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,0,13.0057,The pot,s1,assoc,0,
3,2016-08-05 19:19:01,art,art,8,6,noun_1syll_word,noun,Word,NoNoise,0,0.1375,2,s1,p1,,,,1,13.3085,,,,0,
4,2016-08-05 19:25:40,clove,clove,4,6,noun_1syll_word,noun,Word,NoNoise,1,0.2661,2,s1,p1,,,,1,7.1881,,,,0,
4,2016-08-05 19:25:40,grin,grin,5,6,noun_1syll_word,noun,Word,NoNoise,1,0.2339,2,p1,s1,,,,1,12.4309,,,,1,
4,2016-08-05 19:25:40,box,box,8,7,noun_1syll_word,noun,Word,NoNoise,1,0.1,2,p1,s1,,,,1,6.0135,,,,0,
4,2016-08-05 19:25:40,phone,phone,8,7,noun_1syll_word,noun,Word,NoNoise,1,0.1,2,s1,p1,,,,0,26.5518,walkie talkie,s1,coord,1,
4,2016-08-05 19:25:40,stairs,stairs,6,7,noun_1syll_word,noun,Word,NoNoise,1,0.1643,2,s1,p1,,,,0,19.1892,pears,p1,mp,1,
4,2016-08-05 19:25:40,land,land,8,7,noun_1syll_word,noun,Word,NoNoise,1,0.1,2,p1,s1,,,,0,21.7999,hand,p1,mp,1,
4,2016-08-05 19:25:40,fire,fire,8,7,noun_1syll_word,noun,Word,NoNoise,1,0.1,2,p1,s1,,,,0,24.9318,tyre,p1,mp,1,
4,2016-08-05 19:25:40,fort,fort,5,7,noun_1syll_word,noun,Word,NoNoise,1,0.1964,2,p1,s1,,,,0,26.9964,prison,s1,coord,1,
4,2016-08-05 19:25:40,cuff,cuff,4,7,noun_1syll_word,noun,Word,NoNoise,1,0.2286,2,p1,s1,,,,1,6.6479,,,,0,
4,2016-08-05 19:25:40,gnome,gnome,4,7,noun_1syll_word,noun,Word,NoNoise,1,0.2286,2,s1,p1,,,,0,17.4654,comb,p1,mp,0,
4,2016-08-05 19:25:40,sack,sack,6,7,noun_1syll_word,noun,Word,NoNoise,1,0.1643,2,s1,p1,,,,0,19.2389,bag,s1,coord,0,
4,2016-08-05 19:25:40,point,point,8,4,noun_1syll_word,noun,Word,NoNoise,1,0.2125,2,p1,s1,,,,1,13.8028,,,,1,
4,2016-08-05 19:25:40,a curve,curve,5,6,noun_1syll_phrase,noun,Word,NoNoise,1,0.2339,2,s1,p1,,,,0,23.0602,a curb,p1,mp,1,
4,2016-08-05 19:25:40,the hoe,hoe,3,7,noun_1syll_phrase,noun,Word,NoNoise,1,0.2607,2,s1,p1,,,,1,9.3908,,,,0,
4,2016-08-05 19:25:40,The tree,tree,7,7,noun_1syll_phrase,noun,Word,NoNoise,1,0.1322,2,s1,p1,,,,1,12.6201,,,,1,
5,2016-08-05 19:32:43,bottle,bottle,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,8.2853,,,,0,
5,2016-08-05 19:32:43,music,music,8,6,noun_2syll_word,noun,Word,NoNoise,0,0.1375,2,s1,p1,,,,0,24.0236,silence,s1,assoc,1,
5,2016-08-05 19:32:43,The hole (in a sock),hole,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,4.3565,,,,0,
5,2016-08-05 19:32:43,boat,boat,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,0,12.7675,coat,p1,mp,0,
5,2016-08-05 19:32:43,The camera,camera,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,4.8859,,,,0,
5,2016-08-05 19:32:43,his record,record,8,6,noun_2syll_phrase,noun,Word,NoNoise,0,0.1375,2,s1,p1,,,,1,6.6294,,,,0,
5,2016-08-05 19:32:43,model,model,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,6.4393,,,,0,
5,2016-08-05 19:32:43,army,army,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,8.3133,,,,0,
5,2016-08-05 19:32:43,teacher,teacher,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,5.7753,,,,0,
5,2016-08-05 19:32:43,blood,blood,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,0,13.6192,flood,p1,mp,0,
5,2016-08-05 19:32:43,the shower,shower,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,6.3306,,,,0,
5,2016-08-05 19:32:43,The chocolate,chocolate,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,6.4629,,,,0,
5,2016-08-05 19:32:43,The railway,railway,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,5.6964,,,,0,
5,2016-08-05 19:32:43,oven,oven,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,6.6584,,,,0,
5,2016-08-05 19:32:43,The paper,paper,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,5.1563,,,,0,
6,2016-08-05 19:37:42,the fly,fly,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,0,13.9186,the bee,s1,coord,0,
6,2016-08-05 19:37:42,The egg,egg,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,5.5303,,,,0,
6,2016-08-05 19:37:42,The ring,ring,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,9.5764,,,,0,
6,2016-08-05 19:37:42,The stone,stone,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,0,15.2307,The bone,p1,mp,0,
6,2016-08-05 19:37:42,The lighter,lighter,6,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1643,2,p1,s1,,,,1,6.3874,,,,0,
6,2016-08-05 19:37:42,traffic,traffic,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,20.3867,truffle,p1,close,1,
6,2016-08-05 19:37:42,The blood,blood,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,10.3777,,,,1,
6,2016-08-05 19:37:42,chocolate,chocolate,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,5.061,,,,0,
6,2016-08-05 19:37:42,the brother,brother,8,6,noun_2syll_phrase,noun,Word,NoNoise,0,0.1375,2,s1,p1,,,,1,10.6717,,,,0,
6,2016-08-05 19:37:42,woman,woman,8,6,noun_2syll_word,noun,Word,NoNoise,0,0.1375,2,p1,s1,,,,1,10.8482,,,,0,
6,2016-08-05 19:37:42,The dad,dad,8,6,noun_1syll_phrase,noun,Word,NoNoise,0,0.1375,2,s1,p1,,,,1,4.5758,,,,0,
6,2016-08-05 19:37:42,the cotton,cotton,6,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1643,2,s1,p1,,,,0,14.0964,the coffin,p1,distant,0,
6,2016-08-05 19:37:42,The prison,prison,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,5.7627,,,,0,
6,2016-08-05 19:37:42,The pig,pig,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,6.7326,,,,0,
6,2016-08-05 19:37:42,The bar,bar (stick),7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,7.1615,,,,0,
7,2016-08-05 19:44:29,sugar,sugar,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p2,,,,0,8.4439,spoon,s1,assoc,0,
7,2016-08-05 19:44:29,boat,boat,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,12.4923,,,,1,
7,2016-08-05 19:44:29,model,model,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,10.4108,,,,0,
7,2016-08-05 19:44:29,his record,record,8,6,noun_2syll_phrase,noun,Word,NoNoise,0,0.1375,2,s1,p1,,,,1,10.0333,,,,0,
7,2016-08-05 19:44:29,the shower,shower,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,5.6146,,,,0,
7,2016-08-05 19:44:29,army,army,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,7.5086,,,,0,
7,2016-08-05 19:44:29,pound,pound,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,5.8343,,,,0,
7,2016-08-05 19:44:29,ferry,ferry,6,7,noun_2syll_word,noun,Word,NoNoise,0,0.1643,2,s1,p1,,,,1,7.0918,,,,0,
7,2016-08-05 19:44:29,a lamp,lamp,6,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1643,2,p1,s1,,,,0,9.6455,a bulb,s1,assoc,0,
7,2016-08-05 19:44:29,The net,net,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,15.3267,The vet,p1,mp,0,
7,2016-08-05 19:44:29,The kid,kid,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,6.2209,,,,0,
7,2016-08-05 19:44:29,The match,match,8,6,noun_1syll_phrase,noun,Word,NoNoise,0,0.1375,2,s1,p1,,,,1,5.3288,,,,0,
7,2016-08-05 19:44:29,student,student,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,p2,s1,,,,0,14.9298,steward,p2,distant,1,
7,2016-08-05 19:44:29,The dish,dish,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,14.717,,,,0,
7,2016-08-05 19:44:29,The student,student,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,p2,s1,,,,1,6.024,,,,0,
8,2016-08-05 19:49:30,The head,head,8,7,noun_1syll_phrase,noun,Word,NoNoise,1,0.1,2,s1,p1,,,,0,18.2554,The bread,p1,mp,0,
8,2016-08-05 19:49:30,The game,game,8,7,noun_1syll_phrase,noun,Word,NoNoise,1,0.1,2,s1,p1,,,,1,6.6016,,,,0,
8,2016-08-05 19:49:30,The bank,bank,8,7,noun_1syll_phrase,noun,Word,NoNoise,1,0.1,2,s1,p1,,,,0,13.2094,The tank,p1,mp,0,
8,2016-08-05 19:49:30,the watch,watch,8,7,noun_1syll_phrase,noun,Word,NoNoise,1,0.1,2,s1,p1,,,,1,5.9966,,,,0,
8,2016-08-05 19:49:30,The group,group,8,6,noun_1syll_phrase,noun,Word,NoNoise,1,0.1375,2,s1,p1,,,,0,9.7259,The loop,p1,mp,0,
8,2016-08-05 19:49:30,The news,news,8,4,noun_1syll_phrase,noun,Word,NoNoise,1,0.2125,2,p1,s1,,,,1,16.4515,,,,1,
8,2016-08-05 19:49:30,The dirt,dirt,6,7,noun_1syll_phrase,noun,Word,NoNoise,1,0.1643,2,p1,s1,,,,1,5.1135,,,,0,
8,2016-08-05 19:49:30,The crown,crown,7,7,noun_1syll_phrase,noun,Word,NoNoise,1,0.1322,2,p1,s1,,,,1,8.9337,,,,1,
8,2016-08-05 19:49:30,kitchen,kitchen,8,7,noun_2syll_word,noun,Word,NoNoise,1,0.1,2,s1,p1,,,,0,13.5653,fridge,s1,assoc,0,
8,2016-08-05 19:49:30,flares,flares,4,7,noun_2syll_word,noun,Word,NoNoise,1,0.2286,2,s1,p1,,,,1,10.0135,,,,0,
8,2016-08-05 19:49:30,hour,hour,8,4,noun_2syll_word,noun,Word,NoNoise,1,0.2125,2,p1,s1,,,,1,11.3322,,,,0,
8,2016-08-05 19:49:30,the socket,socket,4,6,noun_2syll_phrase,noun,Word,NoNoise,1,0.2661,2,p1,s1,,,,1,6.5455,,,,0,
8,2016-08-05 19:49:30,The father,father,8,7,noun_2syll_phrase,noun,Word,NoNoise,1,0.1,2,s1,p1,,,,1,4.3016,,,,0,
8,2016-08-05 19:49:30,The castle,castle,7,7,noun_2syll_phrase,noun,Word,NoNoise,1,0.1322,2,p1,s1,,,,1,4.8136,,,,0,
8,2016-08-05 19:49:30,a carrot,carrot,6,7,noun_2syll_phrase,noun,Word,NoNoise,1,0.1643,2,p1,s1,,,,1,4.0007,,,,0,
9,2016-08-05 19:55:27,The breakfast,breakfast,7,6,noun_2syll_phrase,noun,Word,NoNoise,0,0.1697,2,p1,s1,,,,1,7.1358,,,,0,
9,2016-08-05 19:55:27,traffic,traffic,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,15.5643,truffle,p1,close,0,
9,2016-08-05 19:55:27,the throne,throne,6,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1643,2,p1,s1,,,,1,7.588,,,,0,
9,2016-08-05 19:55:27,The bar,bar (stick),7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,3.5907,,,,0,
9,2016-08-05 19:55:27,The snow,snow,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,5.207,,,,0,
9,2016-08-05 19:55:27,chocolate,chocolate,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,4.6166,,,,0,
9,2016-08-05 19:55:27,The camera,camera,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,7.5589,The camel,p1,close,0,
9,2016-08-05 19:55:27,coffee,coffee,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,0,9.7174,toffee,p1,mp,0,
9,2016-08-05 19:55:27,The prison,prison,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,4.3278,,,,0,
9,2016-08-05 19:55:27,bag,bag,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,14.1339,tag,p1,mp,1,
9,2016-08-05 19:55:27,The pan,pan,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,16.1766,The can,p1,mp,1,
9,2016-08-05 19:55:27,The band,band,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,3.9503,,,,0,
9,2016-08-05 19:55:27,The dad,dad,8,6,noun_1syll_phrase,noun,Word,NoNoise,0,0.1375,2,p1,s1,,,,1,4.7962,,,,0,
9,2016-08-05 19:55:27,The plant,plant,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,0,8.8353,The pot,s1,assoc,0,
9,2016-08-05 19:55:27,The pig,pig,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,12.9971,The cow,s1,coord,1,
10,2016-08-05 20:00:15,The cream,cream,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,16.1514,,,,0,
10,2016-08-05 20:00:15,roses,roses,6,7,noun_2syll_word,noun,Word,NoNoise,0,0.1643,2,p1,s1,,,,0,12.6766,proposes,p1,distant,0,
10,2016-08-05 20:00:15,air,air,8,6,noun_1syll_word,noun,Word,NoNoise,0,0.1375,2,s1,p1,,,,0,13.6714,water,s1,assoc,0,
10,2016-08-05 20:00:15,wife,wife,8,6,noun_1syll_word,noun,Word,NoNoise,0,0.1375,2,s1,p1,,,,0,9.6113,knife,p1,mp,0,
10,2016-08-05 20:00:15,The river,river,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,5.7218,,,,0,
10,2016-08-05 20:00:15,homework,homework,6,7,noun_2syll_word,noun,Word,NoNoise,0,0.1643,2,s1,p1,,,,1,3.6627,,,,0,
10,2016-08-05 20:00:15,The match,match,8,6,noun_1syll_phrase,noun,Word,NoNoise,0,0.1375,2,p1,s1,,,,0,7.841,The fire,s1,assoc,0,
10,2016-08-05 20:00:15,sheep,sheep,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,4.0682,,,,0,
10,2016-08-05 20:00:15,his record,record,8,6,noun_2syll_phrase,noun,Word,NoNoise,0,0.1375,2,p1,s1,,,,1,9.9072,,,,0,
10,2016-08-05 20:00:15,The dish,dish,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,4.3663,,,,0,
10,2016-08-05 20:00:15,the spot,spot,8,6,noun_2syll_phrase,noun,Word,NoNoise,0,0.1375,2,p1,s1,,,,0,9.9268,the cut,s1,assoc,0,
10,2016-08-05 20:00:15,The suit,suit,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,4.7865,,,,0,
10,2016-08-05 20:00:15,the iron,iron,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,7.6022,,,,0,
10,2016-08-05 20:00:15,model,model,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,6.1056,,,,0,
10,2016-08-05 20:00:15,The finger,finger,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,13.9872,The fin,p1,distant,0,
11,2016-08-05 20:24:07,stamp,stamp,6,7,noun_1syll_word,noun,Word,NoNoise,0,0.1643,2,p1,s1,,,,1,39.393,,,,1,
11,2016-08-05 20:24:07,The pan,pan,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,15.7177,The can,p1,mp,1,
11,2016-08-05 20:24:07,The band,band,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,8.2262,The concert (crowd),s1,assoc,0,
